user_id	country	age	gender	playcount	registered_unixtime
384	UK	35	m	42139	1035849600
1206		-1	n	33103	1035849600
2622		-1		2030	1037404800
2732		-1	n	147	1037577600
3653	UK	31	m	18504	1041033600
4813	US	43	m	640	1050364800
4830		-1	n	459	1050796800
5069	AT	30	m	31867	1051488000
5213	UK	37	n	392	1052265600
5834	DE	-1		36182	1056672000
6958	US	36	m	34788	1057536000
7687	IE	-1	m	1321	1057622400
10081	DE	-1	f	256	1058054400
10879		-1	n	147520	1058140800
11297	DE	31	n	34158	1058227200
12619		-1	n	1441	1058400000
14308	BR	31	m	70351	1058659200
14829		51	m	18564	1058745600
15067	ES	38	m	208	1058832000
15434	AT	28	n	95123	1058918400
15541		-1	n	235	1059004800
16537	IT	45	m	30768	1059436800
17970	AU	29	m	38497	1060041600
1000450	US	36	m	36710	1044900323
1000557		-1	n	85212	1044932018
1000651	US	33	m	8150	1044975645
1000842		-1		23673	1045420891
1001190	UK	48	m	462259	1045601053
1001647	NL	-1		44815	1045933178
1001711	US	28	m	18831	1046053833
1001713	US	30	m	120265	1046058189
1002285		-1	n	448	1047967223
1002638		-1	n	30620	1048076330
1002693	US	36	n	69223	1048090770
1002697		-1	n	206677	1048091891
1002905	CA	-1	m	49221	1048369968
1003045	US	28	n	28722	1048691357
1003134	UK	29	m	69604	1048763832
1003798	UK	33	m	16401	1049058090
1003910		-1		61384	1049151693
1004064	DK	31	m	46436	1049324781
1004584	RU	30	m	207703	1049929668
1005171	UK	26		64111	1050837784
1005261		28	m	52450	1050895810
1006640		-1		1027	1053198502
1007115	US	29	f	241039	1053996877
1007118	US	30	f	101526	1054001910
1007377	UK	36	m	128299	1054542488
1007420	DE	27	m	49479	1054640719
1007547	BR	35	m	9968	1054844345
1008023	CH	27	m	30048	1055274811
1008113	JP	37	m	16954	1055398710
1008332	US	-1	m	52169	1055718083
1008363	UK	-1	m	31092	1055771470
1008551	US	30	m	64048	1056069298
1008797	US	22	m	106551	1056597163
1009181	UK	40	m	1967	1056979920
1009451	US	25	m	25288	1057042335
1009632	US	53	m	8191	1057177534
1009940	NO	-1	f	5492	1057616875
1010145	UK	29	m	30622	1058126374
1012517	UK	27	m	21538	1064081153
1014744	US	-1	m	17131	1067991101
1015392	UK	39	m	24115	1069362513
1016310	BE	26	m	75866	1070809041
1016475	SE	28	m	23329	1070924042
1016760	US	26	m	114616	1071078856
1017873		-1	m	7288	1071506240
1018238	SE	31	m	31877	1071605554
1018480	DK	36	m	176656	1071676696
1018542	US	37	m	53888	1071689041
1021097	DE	27	m	72526	1073142372
1021445	US	33	m	2893	1073249280
1022229	UK	33	m	91248	1073506252
1022990		26		43276	1073711316
1023115	UK	30	m	22896	1073756620
1023595		27	n	57452	1073877960
1023623	CA	26	m	102866	1073886871
1023656	FI	-1	m	131648	1073900674
1023672	AU	24	f	50242	1073908193
1023863	UK	32	m	225192	1073949620
1023989	US	27	m	29419	1073974962
1024190	UK	24	m	34449	1074025115
1024743	US	30	m	393840	1074157168
1025350	HU	28	m	14480	1074300680
1026493	US	29	m	13102	1074544061
1029562	DE	-1	m	49346	1074951805
1029742	US	21	m	132460	1074980139
1031170		26	f	36807	1075742460
1031637	US	-1	m	88998	1075835454
1032363		-1	n	45	1076244124
1034770	NO	25	m	49557	1077364190
1035006	UK	25	f	50681	1077470051
1035020	UK	27	m	52151	1077474833
1035640		-1		31524	1077785184
1036286	US	-1		62478	1078114833
1036845		-1	n	1576	1078398359
1037776	CA	27	m	310547	1078727800
1038111	DE	26	m	116621	1078844389
1038343		-1	n	99429	1078892016
1038987		29	n	40149	1079216684
1038997	US	28	m	39027	1079219071
1039046	CA	36	m	1991	1079228560
1039205	UK	35	m	15372	1079287745
1039249	DE	26	f	20254	1079296363
1039355	US	24	m	114448	1079319977
1039579	US	32	m	28292	1079385795
1040397	RU	31	m	49484	1079573026
1040458	AQ	28	m	213309	1079588719
1040533	RU	-1	n	1995	1079611389
1040586	RU	29	f	48872	1079623684
1040674		35	m	29060	1079637118
1040923	CZ	30	m	56606	1079694011
1040986	DE	25	m	123021	1079707985
1041209	DE	30	m	137310	1079743160
1041403	NO	26	m	13285	1079803303
1041758		-1		768	1079895653
1041908	US	23	m	59453	1079923714
1042244	BR	-1	m	87506	1080023674
1042762	US	27	f	53614	1080153453
1042860	NL	47	f	54186	1080168885
1042903	US	94	m	113048	1080178024
1042995	US	-1	n	6061	1080197495
1044219	HU	26	m	101988	1080494653
1044302	US	26	m	42023	1080510220
1044535	SE	38	m	3802	1080545544
1044661	SE	33	n	70308	1080562250
1044761	UK	32	m	16717	1080571681
1044776	SE	28	m	39804	1080573272
1044912	NL	30	m	109093	1080584770
1045130	UK	-1	f	75812	1080605873
1045479	NL	35	m	133583	1080869718
1045501	KH	24	n	39748	1080878838
1045587	LV	26	m	133043	1080911220
1045654	US	26	n	36305	1080934045
1045706	NL	37	m	36642	1080949407
1045707	AQ	0	m	1840	1080949418
1045824	BE	28	m	73687	1081007048
1046066	FI	27	m	186820	1081047278
1046183		31	m	1393	1081077867
1046264	JP	37	f	179998	1081094420
1046644	US	27	m	129049	1081148757
1046659	NL	27	m	63168	1081155008
1046678	ZA	35	m	186327	1081159664
1046993	ES	25	m	112780	1081210429
1047533	RU	33	m	131230	1081299664
1047671	US	26	f	69179	1081320648
1047699	AU	27	m	63653	1081327841
1047729	NL	26	f	6242	1081334497
1048016	SE	29	m	22963	1081374184
1048040	US	26	m	61073	1081377867
1048362	UK	26	m	26420	1081438688
1048837	IL	25	m	11113	1081520970
1049078	US	30	m	62654	1081555591
1049203		-1	n	628	1081585928
1049298	FI	47	m	50306	1081611787
1049522	US	40	m	135964	1081647920
1049656	FI	35	m	94733	1081676662
1049846	NL	26	m	137419	1081712088
1050187	NL	25	n	183845	1081775087
1051870	US	29	m	137975	1081977478
1052285	SE	31	m	47634	1082041062
1052995	UK	42	m	40044	1082131610
1053214	CA	-1	m	152778	1082163197
1053550	DE	27	m	90161	1082219379
1053592	US	28	m	46931	1082223310
1053633	NZ	35	m	43476	1082227204
1054287	UK	-1	n	12329	1082307775
1054663	US	30	m	111547	1082341632
1054941	DE	31	m	35728	1082379683
1054946	AT	27	m	140235	1082380527
1055118	US	34	m	5041	1082393551
1055281	DE	25	m	88468	1082406517
1056506	US	30	f	147710	1082523851
1056594	DE	25	m	149056	1082538511
1056595		-1		76700	1082539007
1056687	UA	28	m	3228	1082551661
1056935	UK	30	m	25314	1082573149
1057326	US	27	m	150825	1082612667
1057727	UK	26	f	80020	1082656441
1057829	NL	-1	m	90276	1082664119
1058317	UK	47	n	27331	1082710926
1058776	NL	26	m	126269	1082745012
1058807	NL	27	m	77356	1082747939
1058814	NL	34	m	10496	1082748454
1058825	NL	31	m	157830	1082749606
1059156	US	25	f	10954	1082772679
1060877	NZ	35	m	20374	1082986185
1061441		30	m	43898	1083027721
1062818	US	26	f	149032	1083177834
1062888	US	-1	m	21845	1083182896
1062956		-1	m	7500	1083186735
1063094	US	31	m	37725	1083196134
1063392	US	27	m	80754	1083233971
1063816		33	m	35914	1083272063
1063836	US	33	m	69351	1083273491
1063973	US	39	m	59734	1083284977
1064160	US	29	m	16393	1083308524
1064252	JP	40	n	93313	1083323317
1064612	US	37	f	23145	1083361089
1064696	US	29	m	56083	1083370734
1064882	US	31	m	124820	1083400188
1065252	US	26	m	114091	1083446008
1065278	PL	27	m	26682	1083448558
1065441	US	84	m	58107	1083467575
1065697	BE	26	m	36129	1083510790
1065846		28	m	447	1083523634
1066011	SE	30	m	1783	1083540377
1066049	US	27	m	51258	1083544881
1066173	US	50	m	226462	1083560497
1066341	DK	-1		1302	1083591157
1066852	CA	31	m	30768	1083636402
1067785	BE	35	m	78759	1083752244
1068226	US	35	n	27325	1083799505
1068399	US	29	m	202719	1083815942
1070023	US	32	m	53024	1084850656
1070155	SE	38	m	113220	1084878916
1070291	SE	26	m	75414	1084900967
1070642	UK	39	m	90378	1084956628
1070693	UK	-1	m	51798	1084966698
1070696	NO	-1	m	120063	1084966966
1070820	US	29	m	187121	1084987700
1071129	US	37	n	69142	1085015177
1071395	FR	28	m	81813	1085061781
1071422	PL	28	m	42123	1085064860
1071628	US	24	m	125353	1085091609
1072283	NL	-1	m	93075	1085235098
1072317	CC	-1	n	10877	1085239888
1072752	DK	48	m	12507	1085334748
1072954	US	29	m	133449	1085367461
1073342	IT	25	m	58648	1085438272
1073613	US	24	m	118509	1085503458
1073624	NL	-1	m	44392	1085504585
1073957	NL	27	m	19811	1085568833
1073993	NO	33	n	108520	1085575646
1074381	JP	-1	m	258068	1085629188
1074564	DE	27	m	5547	1085674718
1076924	UK	26	m	13061	1086539099
1077321	UK	24	m	22991	1086595756
2003209	BE	33	m	31114	1090883160
2003374	DE	29	m	120442	1090922311
2003993		-1	n	2625	1091011083
2004140	US	23	f	141014	1091041133
2004527	CA	36	m	42998	1091151449
2004595	US	24	m	93458	1091176636
2004651	AU	37	m	36482	1091181302
2004785	UK	31	m	71641	1091199361
2005054	PL	32	m	101336	1091227959
2005162	JP	29	f	42936	1091244338
2005581		-1		452	1091313106
2005786	AT	24	m	34538	1091346684
2005859		-1	n	101401	1091361454
2006017	NL	43	m	205455	1091380676
2006479	RS	26	m	145931	1091442007
2006714	UK	32	m	43366	1091455266
2007044	UK	24	m	104959	1091467621
2007237		-1	n	1979	1091474622
2007488		-1	n	1011	1091485717
2008052	US	37	f	100445	1091544360
2008126	US	29		24497	1091550628
2008475	US	28	m	221935	1091585786
2008921	MX	-1	m	22133	1091632300
2009825	CA	-1	n	53502	1091724204
2010358	DE	27	m	66704	1091795273
2010648	IS	34	m	52997	1091823559
2010767	US	28	m	103985	1091836102
2011049	CH	26	m	48960	1091875053
2011676	US	31	f	20210	1091968617
2012408	BG	30	m	81970	1092064048
2013259	PT	26	m	13156	1092176359
2013264	UK	38	m	626	1092177254
2013894	CA	26	m	98695	1092265835
2014225	UK	10	n	455549	1092322957
2014258	US	35	m	64536	1092326406
2014566	US	25	m	140664	1092356599
